control_id,title,requirement,applicability,responsible_role,enforcement,evidence,severity,exception_authority,protection_objective,book_i,book_ii,book_iii,book_iv,book_x,chapter,automation
VI-PIN-08-006,Detect privacy incidents,"Unauthorized, excessive, inaccurate, misleading, purpose-incompatible, retained-too-long, or improperly disclosed processing MUST enter the incident process even when no conventional security breach occurred.",all processing,Privacy Steward,privacy event detection,privacy incident record,High,None,Both,"Articles IX-XII; Decisions 26, 30, 33-35, 45, 48, 55-57","Chapters 7, 12, 18, 27, 29, 34","Chapters 4-6, 8","CMP-05-10, CMP-18-19, CMP-27-29","Chapters 5, 7-8, 10",08,Human review with recorded evidence
VI-PIN-08-007,Contain without destroying accountability,"Privacy incident containment MUST stop further harm, restrict access and exchange, preserve minimized evidence, identify affected data and people, and avoid deleting records needed for accountable investigation.",privacy incidents,Incident Commander,incident playbook,containment record,Critical,None,Both,"Articles IX-XII; Decisions 26, 30, 33-35, 45, 48, 55-57","Chapters 7, 12, 18, 27, 29, 34","Chapters 4-6, 8","CMP-05-10, CMP-18-19, CMP-27-29","Chapters 5, 7-8, 10",08,Human review with recorded evidence
VI-PIN-08-008,Remediate affected lifecycle paths,"Privacy remediation MUST address authoritative and derived stores, models, caches, backups, recipients, Treaties, purpose rules, access paths, and recurrence controls, with Book VIII reverification where claims were affected.",privacy incidents,Data Owner,remediation tracking,privacy recovery package,Critical,Privacy Steward,Both,"Articles IX-XII; Decisions 26, 30, 33-35, 45, 48, 55-57","Chapters 7, 12, 18, 27, 29, 34","Chapters 4-6, 8","CMP-05-10, CMP-18-19, CMP-27-29","Chapters 5, 7-8, 10",08,Human review with recorded evidence
VI-TRU-09-001,Classify every Trust Domain,"Every internal or external domain MUST have stable identity, owner, boundary, permitted purposes, data and capability scope, security and privacy assumptions, evidence, review cadence, and failure behavior.",all domains,Trust Steward,domain registry gate,Trust Domain record,Critical,Security and Trust Executive,Both,"Decisions 23, 26-27, 32, 35, 47, 54","Chapters 16-17, 19-20, 26, 33","Chapters 3, 5-6","CMP-17-21, CMP-24",Chapters 7-8,09,Automated + human review
VI-TRU-09-002,Keep trust distinct,"Trust Assessment MAY inform decisions but MUST NOT create Identity, Permission, Authority, capability, Treaty scope, or authoritative state; current Permission remains independently required.",all trust use,Trust Steward,negative authority tests,Trust Assessment and Permission Decision Record,Critical,None,Constrain HAL,"Decisions 23, 26-27, 32, 35, 47, 54","Chapters 16-17, 19-20, 26, 33","Chapters 3, 5-6","CMP-17-21, CMP-24",Chapters 7-8,09,Human review with recorded evidence
VI-TRU-09-003,Route cross-domain exchange through the Firewall,"Every cross-domain ingress and egress MUST traverse the Constitutional Firewall with authenticated domain identity, active applicable Treaty where required, current Authority, purpose, classification, minimization, provenance, and integrity checks.",cross-domain exchange,Constitutional Firewall Owner,Book IX gateway enforcement,Firewall decision and receipt,Critical,None,Both,"Decisions 23, 26-27, 32, 35, 47, 54","Chapters 16-17, 19-20, 26, 33","Chapters 3, 5-6","CMP-17-21, CMP-24",Chapters 7-8,09,Automated + human review
VI-TRU-09-004,Fail closed on missing boundary facts,"Absent, stale, ambiguous, unverifiable, expired, revoked, suspended, drifted, or incompatible domain, Treaty, Authority, schema, provenance, or integrity evidence MUST deny or quarantine the exchange.",uncertain exchanges,Constitutional Firewall Owner,denial policy and adversarial tests,denial or quarantine event,Critical,None,Both,"Decisions 23, 26-27, 32, 35, 47, 54","Chapters 16-17, 19-20, 26, 33","Chapters 3, 5-6","CMP-17-21, CMP-24",Chapters 7-8,09,Automated + human review
VI-TRU-09-005,Constrain returned data and effects,"Firewall egress and ingress MUST enforce permitted direction, purpose, fields, classification, volume, frequency, recipients, actions, retention, and downstream propagation.",all exchanges,Constitutional Firewall Owner,content and policy enforcement,exchange manifest,Critical,None,Constrain HAL,"Decisions 23, 26-27, 32, 35, 47, 54","Chapters 16-17, 19-20, 26, 33","Chapters 3, 5-6","CMP-17-21, CMP-24",Chapters 7-8,09,Automated + human review
VI-TRU-09-006,Preserve cross-domain provenance,"Accepted exchanges MUST retain source domain, identities, Treaty and Authority context, schema and contract versions, integrity, time confidence, transformations, and custody.",accepted exchanges,Evidence Custodian,Book IX envelope validation,provenance chain,High,None,Both,"Decisions 23, 26-27, 32, 35, 47, 54","Chapters 16-17, 19-20, 26, 33","Chapters 3, 5-6","CMP-17-21, CMP-24",Chapters 7-8,09,Automated + human review
VI-TRU-09-007,Monitor domain drift,"Control, ownership, identity, endpoint, jurisdiction, purpose, behavior, assurance, incident, or threat changes MUST trigger Trust Assessment and Treaty applicability review.",active domains,Domain Owner,drift monitoring,domain reassessment,High,Trust Steward,Both,"Decisions 23, 26-27, 32, 35, 47, 54","Chapters 16-17, 19-20, 26, 33","Chapters 3, 5-6","CMP-17-21, CMP-24",Chapters 7-8,09,Automated + human review
VI-TRU-09-008,Exercise boundary failure,"The program MUST test replay, substitution, downgrade, schema confusion, revoked Treaty, stale Authority, over-purpose, over-data, exfiltration, unavailable Firewall, and compromised counterparty scenarios.",external boundaries,Security Operations,adversarial gateway exercises,boundary exercise report,Critical,None,Both,"Decisions 23, 26-27, 32, 35, 47, 54","Chapters 16-17, 19-20, 26, 33","Chapters 3, 5-6","CMP-17-21, CMP-24",Chapters 7-8,09,Automated + human review
VI-TRT-10-001,Perform Treaty due diligence,"Before activation, the Treaty package MUST assess counterparty identity, ownership, purposes, data, capabilities, directions, controls, incidents, evidence, retention, deletion, jurisdiction, subcontractors, suspension, revocation, and exit.",proposed Treaties,Treaty Steward,due diligence gate,Treaty assessment package,Critical,None,Both,"Decisions 26, 47, 48, 54","Chapters 17, 20, 26, 33, 35","Chapters 5, 7-9","CMP-17, CMP-20-21",Chapters 7-8,10,Automated + human review
VI-TRT-10-002,Preserve Owner approval,"No certification, security review, counterparty assurance, contract signature, credential, or technical connectivity MAY substitute for the constitutionally required Owner approval of a Treaty or new Treaty class.",Treaties,Treaty Steward,Owner-approval reference gate,Owner Authorization Ceremony Record,Critical,Owner,Constrain HAL,"Decisions 26, 47, 48, 54","Chapters 17, 20, 26, 33, 35","Chapters 5, 7-9","CMP-17, CMP-20-21",Chapters 7-8,10,Automated + human review
VI-TRT-10-003,Activate exact approved versions,"Activation MUST bind the exact signed Treaty version, parties, domains, purposes, data classes, capabilities, directions, constraints, effective time, expiry, and Firewall policy; drift MUST block activation.",Treaty activation,Constitutional Firewall Owner,Book IX contract and policy gate,activation record,Critical,None,Both,"Decisions 26, 47, 48, 54","Chapters 17, 20, 26, 33, 35","Chapters 5, 7-9","CMP-17, CMP-20-21",Chapters 7-8,10,Automated + human review
VI-TRT-10-004,Monitor Treaty obligations,"Active Treaties MUST be monitored for expiry, permitted-use compliance, volume, recipients, incidents, assurance validity, retention, deletion, downstream sharing, and counterparty change.",active Treaties,Treaty Steward,continuous monitoring,Treaty monitoring evidence,High,Security and Trust Executive,Both,"Decisions 26, 47, 48, 54","Chapters 17, 20, 26, 33, 35","Chapters 5, 7-9","CMP-17, CMP-20-21",Chapters 7-8,10,Automated + human review
VI-TRT-10-005,Suspend on material uncertainty,"Material incident, assurance loss, identity doubt, policy drift, contract mismatch, noncompliance, or revocation unreachability MUST suspend affected exchange pending review.",active Treaties,Incident Commander,automatic and manual suspension,suspension record and receipts,Critical,None,Both,"Decisions 26, 47, 48, 54","Chapters 17, 20, 26, 33, 35","Chapters 5, 7-9","CMP-17, CMP-20-21",Chapters 7-8,10,Human review with recorded evidence
VI-TRT-10-006,Revoke comprehensively,"Revocation MUST stop new exchange, handle in-flight actions, invalidate cached permissions, quarantine affected data, notify authorized parties, preserve evidence, and evaluate dependent capabilities and certifications.",revoked Treaties,Treaty Steward,Book IX revocation workflow,revocation manifest,Critical,None,Both,"Decisions 26, 47, 48, 54","Chapters 17, 20, 26, 33, 35","Chapters 5, 7-9","CMP-17, CMP-20-21",Chapters 7-8,10,Human review with recorded evidence
VI-TRT-10-007,Control subcontractors and fourth parties,"A third party MUST NOT extend access, data, capability, or processing to another domain unless the Treaty explicitly permits it and equivalent identity, security, privacy, evidence, and revocation controls are verified.",third-party chains,Third-Party Risk Owner,relationship and exchange review,downstream party register,Critical,Owner if Treaty scope changes,Both,"Decisions 26, 47, 48, 54","Chapters 17, 20, 26, 33, 35","Chapters 5, 7-9","CMP-17, CMP-20-21",Chapters 7-8,10,Human review with recorded evidence
VI-TRT-10-008,Exit safely,"Treaty expiry or termination MUST define return or deletion, retained evidence, credential and endpoint revocation, data quarantine, unresolved transactions, continuity, disputes, and post-exit verification.",Treaty exit,Treaty Steward,exit checklist and receipts,exit evidence package,High,Security and Trust Executive,Both,"Decisions 26, 47, 48, 54","Chapters 17, 20, 26, 33, 35","Chapters 5, 7-9","CMP-17, CMP-20-21",Chapters 7-8,10,Human review with recorded evidence
VI-DET-11-001,Emit incident-relevant events,"Identity, Authority, policy, privilege, secret, key, build, vulnerability, Firewall, Treaty, data, configuration, integrity, evidence, and recovery controls MUST emit structured success, denial, anomaly, and failure events.",critical controls,Observability Owner,Book IX event conformance,event records,Critical,None,Both,"Decisions 26, 28, 40-42","Chapters 28, 31-33","Chapters 4-6, 8","CMP-18, CMP-24-26",Chapters 7-9,11,Human review with recorded evidence
VI-DET-11-002,Use canonical telemetry context,"Events MUST carry the applicable Book IX identity, correlation, causation, time, provenance, classification, integrity, contract/schema version, and optional Authority and Treaty context; missing critical context MUST reduce trust.",all security telemetry,Observability Owner,schema validation,validated event stream,High,None,Both,"Decisions 26, 28, 40-42","Chapters 28, 31-33","Chapters 4-6, 8","CMP-18, CMP-24-26",Chapters 7-9,11,Automated + human review
VI-DET-11-003,Minimize and protect telemetry,"Telemetry MUST exclude secrets and unnecessary sensitive content, apply field protection and access controls, use declared retention, and preserve sufficient evidence to reconstruct protected actions.",all telemetry,Privacy Steward,logging policy and scans,telemetry data inventory,Critical,None,Both,"Decisions 26, 28, 40-42","Chapters 28, 31-33","Chapters 4-6, 8","CMP-18, CMP-24-26",Chapters 7-9,11,Automated + human review
VI-DET-11-004,Detect authority violations separately,"Detection content MUST identify attempted or actual excess Authority, stale delegation, bypassed Kernel or Firewall, foreign state mutation, and unauthorized Reality Boundary effects separately from compromise indicators.",authority paths,Detection Engineering Owner,authority-focused rules and tests,authority incident alert,Critical,None,Constrain HAL,"Decisions 26, 28, 40-42","Chapters 28, 31-33","Chapters 4-6, 8","CMP-18, CMP-24-26",Chapters 7-9,11,Human review with recorded evidence
VI-DET-11-005,Validate detection quality,"Critical detections MUST have test cases, required sources, expected latency, false-negative and false-positive review, owner, runbook, evidence links, and behavior for missing telemetry.",critical detections,Detection Engineering Owner,detection CI and exercises,detection validation record,High,Security and Trust Executive,Both,"Decisions 26, 28, 40-42","Chapters 28, 31-33","Chapters 4-6, 8","CMP-18, CMP-24-26",Chapters 7-9,11,Human review with recorded evidence
VI-DET-11-006,Triage by consequence,"Triage MUST assess constitutional impact, Authority, protected state, privacy, Trust Domain, Treaty, blast radius, persistence, evidence integrity, and recovery—not just technical severity.",all alerts,Security Operations,triage workflow,triage record,Critical,None,Both,"Decisions 26, 28, 40-42","Chapters 28, 31-33","Chapters 4-6, 8","CMP-18, CMP-24-26",Chapters 7-9,11,Human review with recorded evidence
VI-DET-11-007,Protect evidence pipelines,"Critical event collection MUST be tamper-evident, access-controlled, time-aware, resilient, independently monitored, and incapable of being silently disabled by the observed component.",critical telemetry,Evidence Custodian,pipeline integrity monitoring,pipeline attestation,Critical,None,Protect HAL,"Decisions 26, 28, 40-42","Chapters 28, 31-33","Chapters 4-6, 8","CMP-18, CMP-24-26",Chapters 7-9,11,Automated + human review
VI-DET-11-008,Measure coverage honestly,"Coverage metrics MUST identify unmonitored assets, stale rules, missing fields, collection gaps, delayed events, untested scenarios, and blind spots; aggregate alert volume MUST NOT serve as assurance.",detection program,Detection Engineering Owner,coverage reconciliation,detection coverage report,High,Risk Steward,Both,"Decisions 26, 28, 40-42","Chapters 28, 31-33","Chapters 4-6, 8","CMP-18, CMP-24-26",Chapters 7-9,11,Human review with recorded evidence
VI-INC-12-001,Declare incidents by consequence,"Events MUST be declared incidents when credible impact involves constitutional invariants, Authority, identity, protected state, sensitive data, Trust Domains, Treaties, evidence, or continuity, even if technical certainty is incomplete.",suspected incidents,Incident Commander,incident criteria and escalation,incident declaration,Critical,None,Both,"Decisions 22, 26, 28, 40, 42-43, 47","Chapters 2, 18, 20, 28, 31-33",Chapters 5-9,"CMP-18-21, CMP-24-26",Chapters 7-9,12,Human review with recorded evidence
VI-INC-12-002,Establish one incident command,"Each incident MUST have one accountable Incident Commander, scope, objectives, decision log, roles, communication channels, evidence custodian, status cadence, and transfer procedure.",all incidents,Incident Commander,incident management workflow,incident record,High,Security and Trust Executive,Both,"Decisions 22, 26, 28, 40, 42-43, 47","Chapters 2, 18, 20, 28, 31-33",Chapters 5-9,"CMP-18-21, CMP-24-26",Chapters 7-9,12,Human review with recorded evidence
VI-INC-12-003,Contain proportionately,"Containment MUST prioritize human safety, constitutional invariants, Owner access, Authority restriction, privacy, evidence, and blast-radius reduction; it MUST document intended and collateral effects.",all incidents,Incident Commander,containment approval and monitoring,containment decision record,Critical,Incident Commander,Both,"Decisions 22, 26, 28, 40, 42-43, 47","Chapters 2, 18, 20, 28, 31-33",Chapters 5-9,"CMP-18-21, CMP-24-26",Chapters 7-9,12,Automated + human review
VI-INC-12-004,Preserve chain of custody,"Investigation evidence MUST record identity, source, time and confidence, collection method, digest, classification, custody, access, transformations, analysis, and disposition; originals MUST be preserved where feasible.",all investigations,Evidence Custodian,evidence tooling and review,chain-of-custody record,Critical,None,Protect HAL,"Decisions 22, 26, 28, 40, 42-43, 47","Chapters 2, 18, 20, 28, 31-33",Chapters 5-9,"CMP-18-21, CMP-24-26",Chapters 7-9,12,Human review with recorded evidence
VI-INC-12-005,Separate facts from hypotheses,"Investigations MUST distinguish observed facts, reported claims, analytical hypotheses, confidence, contradictions, unknowns, and decisions; later findings MUST supersede rather than rewrite history.",all investigations,Security Operations,case record schema,investigation timeline,High,None,Both,"Decisions 22, 26, 28, 40, 42-43, 47","Chapters 2, 18, 20, 28, 31-33",Chapters 5-9,"CMP-18-21, CMP-24-26",Chapters 7-9,12,Human review with recorded evidence
VI-INC-12-006,Coordinate privacy and trust response,"Incidents involving personal data or external domains MUST engage Privacy and Trust Stewards, enforce Treaty duties, minimize shared evidence, and coordinate suspension, notification, and remediation.",privacy/trust incidents,Incident Commander,stakeholder and Treaty gate,coordination record,Critical,None,Both,"Decisions 22, 26, 28, 40, 42-43, 47","Chapters 2, 18, 20, 28, 31-33",Chapters 5-9,"CMP-18-21, CMP-24-26",Chapters 7-9,12,Automated + human review
VI-INC-12-007,Notify with verified scope,"Notifications MUST be timely, authorized, accurate about known and unknown facts, purpose-limited, privacy-minimized, updateable, and linked to applicable Treaty, legal, operational, and governance duties.",notifiable incidents,Incident Commander,notification review,notification record,High,Security and Trust Executive,Both,"Decisions 22, 26, 28, 40, 42-43, 47","Chapters 2, 18, 20, 28, 31-33",Chapters 5-9,"CMP-18-21, CMP-24-26",Chapters 7-9,12,Human review with recorded evidence
VI-INC-12-008,Prevent incident authority expansion,"Emergency status MUST NOT grant undeclared strategic authority, alter constitutional invariants, create Treaties or capabilities, or permit unrestricted access; emergency powers MUST be explicit and expire.",emergencies,Incident Commander,emergency authority checks,emergency authority record,Critical,Owner for constitutional matters,Constrain HAL,"Decisions 22, 26, 28, 40, 42-43, 47","Chapters 2, 18, 20, 28, 31-33",Chapters 5-9,"CMP-18-21, CMP-24-26",Chapters 7-9,12,Human review with recorded evidence
VI-ASR-13-001,Recover from independently verified foundations,"Compromise recovery MUST re-establish measured hardware or host integrity, immutable identity, current Authority, protected configuration, verified artifacts, evidence integrity, and authoritative state before restoring capability.",compromise recovery,Recovery Coordinator,recovery admission gate,Recovery Admission Record,Critical,None,Both,"Decisions 22, 26, 40, 42-44, 47, 58","Chapters 2, 28, 30-33, 35",Chapters 6-9,"CMP-15-18, CMP-24-26",Chapters 7-9,13,Automated + human review
VI-ASR-13-002,Scope eradication to dependencies,"Eradication MUST address persistence, credentials, keys, images, builds, dependencies, policies, data, peers, Treaties, caches, backups, and compromised evidence—not only the initially affected host.",confirmed compromise,Recovery Coordinator,dependency impact checklist,eradication evidence,Critical,None,Protect HAL,"Decisions 22, 26, 40, 42-44, 47, 58","Chapters 2, 28, 30-33, 35",Chapters 6-9,"CMP-15-18, CMP-24-26",Chapters 7-9,13,Human review with recorded evidence
VI-ASR-13-003,Require post-recovery verification,"Restored systems MUST complete risk-based Book VIII verification, including containment, authority paths, privacy, trust boundaries, recovery invariants, and regression, before protected work resumes.",restored systems,Certification Liaison,verification admission status,Book VIII result reference,Critical,None,Both,"Decisions 22, 26, 40, 42-44, 47, 58","Chapters 2, 28, 30-33, 35",Chapters 6-9,"CMP-15-18, CMP-24-26",Chapters 7-9,13,Human review with recorded evidence
VI-ASR-13-004,Authorize offensive testing,"Penetration tests and red teams MUST have written scope, targets, time, allowed techniques, data handling, safety boundaries, stop authority, escalation, evidence, and cleanup before execution.",offensive tests,Red Team Lead,rules-of-engagement gate,signed engagement plan,Critical,Security and Trust Executive,Protect HAL,"Decisions 22, 26, 40, 42-44, 47, 58","Chapters 2, 28, 30-33, 35",Chapters 6-9,"CMP-15-18, CMP-24-26",Chapters 7-9,13,Automated + human review
VI-ASR-13-005,Test both attacker and overreach paths,"Adversarial work MUST test compromise of HAL and misuse or excess of HAL Authority, including stale delegation, trust confusion, Treaty bypass, evidence suppression, and unauthorized external effect.",high-risk systems,Security Assessor,scenario coverage review,adversarial assessment,Critical,None,Both,"Decisions 22, 26, 40, 42-44, 47, 58","Chapters 2, 28, 30-33, 35",Chapters 6-9,"CMP-15-18, CMP-24-26",Chapters 7-9,13,Human review with recorded evidence
VI-ASR-13-006,Remediate findings with independent closure,"Offensive and audit findings MUST enter the common risk process and close only after deployed remediation, independent retest, residual-risk decision, and affected-assurance review.",all findings,Security Assessor,finding workflow,retest and closure record,High,Risk Steward,Both,"Decisions 22, 26, 40, 42-44, 47, 58","Chapters 2, 28, 30-33, 35",Chapters 6-9,"CMP-15-18, CMP-24-26",Chapters 7-9,13,Human review with recorded evidence
VI-ASR-13-007,Prepare auditable evidence,"Audit packages MUST state scope, criteria, sources, sampling, limitations, control owners, evidence locations, access decisions, exceptions, findings, remediation, and unresolved risk without fabricating assurance.",audits,Audit Lead,audit readiness review,audit evidence manifest,High,Security and Trust Executive,Both,"Decisions 22, 26, 40, 42-44, 47, 58","Chapters 2, 28, 30-33, 35",Chapters 6-9,"CMP-15-18, CMP-24-26",Chapters 7-9,13,Human review with recorded evidence
VI-ASR-13-008,Supply but do not issue certification,"Book VI MUST supply security, privacy, trust, incident, recovery, and control-effectiveness evidence to Book VIII; Book VI roles MUST NOT issue or redefine certification unless separately authorized there.",certification inputs,Certification Liaison,Book VIII reconciliation gate,assurance evidence package,Critical,None,Constrain HAL,"Decisions 22, 26, 40, 42-44, 47, 58","Chapters 2, 28, 30-33, 35",Chapters 6-9,"CMP-15-18, CMP-24-26",Chapters 7-9,13,Automated + human review
VI-CON-14-001,Measure outcomes and control health,"Metrics MUST cover prevention, detection, containment, recovery, authority denials, privacy outcomes, trust-boundary enforcement, evidence quality, exceptions, remediation, and recurrence.",program metrics,Metrics Owner,metric definition review,metrics catalog and reports,High,Security and Trust Executive,Both,"Articles XI-XIV; Decisions 22, 26, 28, 40, 58","Chapters 28, 31-35",Chapters 4-9,"CMP-15, CMP-18, CMP-24-29",Chapters 7-10,14,Human review with recorded evidence
VI-CON-14-002,Prevent vanity metrics,"Alert count, patch count, scan count, training completion, coverage percentage, or audit completion MUST NOT alone demonstrate effective risk reduction or constitutional conformance.",all reporting,Metrics Owner,report review,metric interpretation record,High,Risk Steward,Both,"Articles XI-XIV; Decisions 22, 26, 28, 40, 58","Chapters 28, 31-35",Chapters 4-9,"CMP-15, CMP-18, CMP-24-29",Chapters 7-10,14,Human review with recorded evidence
VI-CON-14-003,Track leading and lagging signals,"Each critical risk MUST have outcome, control-effectiveness, exposure, evidence-freshness, and failure signals with owners, thresholds, cadence, and response.",critical risks,Control Owner,risk-to-metric mapping,risk monitoring record,High,Security and Trust Executive,Both,"Articles XI-XIV; Decisions 22, 26, 28, 40, 58","Chapters 28, 31-35",Chapters 4-9,"CMP-15, CMP-18, CMP-24-29",Chapters 7-10,14,Human review with recorded evidence
VI-CON-14-004,Learn without rewriting history,"Improvements MUST preserve prior incidents, findings, decisions, exceptions, evidence, and dissent; updated understanding MUST be versioned and linked to outcomes.",all improvements,Control Owner,append-only records,improvement decision,High,None,Both,"Articles XI-XIV; Decisions 22, 26, 28, 40, 58","Chapters 28, 31-35",Chapters 4-9,"CMP-15, CMP-18, CMP-24-29",Chapters 7-10,14,Human review with recorded evidence
VI-CON-14-005,Reconcile Book IX contracts,"Security events, Authority context, Treaty exchange, Firewall decisions, errors, schemas, and protocol behaviors MUST map to final Book IX identifiers and MUST NOT invent alternate wire contracts.",interface controls,Book IX Liaison,contract reconciliation check,Book IX mapping register,Critical,None,Both,"Articles XI-XIV; Decisions 22, 26, 28, 40, 58","Chapters 28, 31-35",Chapters 4-9,"CMP-15, CMP-18, CMP-24-29",Chapters 7-10,14,Human review with recorded evidence
VI-CON-14-006,Reconcile Book VIII assurance,"Control tests, incidents, penetration results, privacy assessments, Treaty evidence, recovery, and continuous signals MUST map into Book VIII claims, evidence, certification status, and recertification triggers.",assurance inputs,Book VIII Liaison,assurance reconciliation check,Book VIII mapping register,Critical,None,Both,"Articles XI-XIV; Decisions 22, 26, 28, 40, 58","Chapters 28, 31-35",Chapters 4-9,"CMP-15, CMP-18, CMP-24-29",Chapters 7-10,14,Human review with recorded evidence
VI-CON-14-007,Review the program periodically,"At least annually and after material incidents or canon changes, an independent review MUST assess source fidelity, control effectiveness, gaps, burden, exceptions, evidence, roles, metrics, and needed revisions.",program,Independent Assessor,review calendar and gate,program review report,High,Security and Trust Executive,Both,"Articles XI-XIV; Decisions 22, 26, 28, 40, 58","Chapters 28, 31-35",Chapters 4-9,"CMP-15, CMP-18, CMP-24-29",Chapters 7-10,14,Automated + human review
VI-CON-14-008,Certify Book VI conformance honestly,"Book VI conformance MAY be declared only when mandatory controls are mapped, applicable evidence is current, critical failures are resolved or operation is constrained, reconciliations are current, and no contradiction remains.",Book VI conformance,Security and Trust Executive,certification checklist,Book VI certification report,Critical,None,Both,"Articles XI-XIV; Decisions 22, 26, 28, 40, 58","Chapters 28, 31-35",Chapters 4-9,"CMP-15, CMP-18, CMP-24-29",Chapters 7-10,14,Human review with recorded evidence
