control_id,title,requirement,applicability,responsible_role,enforcement,evidence,severity,exception_authority,source,chapter,automation
EVD-10-005,Publish authoritative status,"Published governance artifacts MUST state authority, version, status, effective date, supersession, scope, and canonical location so drafts cannot masquerade as authority.",published artifacts,Publication Authority,"workflow gate, register validation, and independent review",Publication Manifest,Critical,none,"Book I Articles VI, XI, XII and Decision 40; Book II evidence architecture; Books III, VIII, IX",10,Automated completeness/integrity checks plus human authority review
EVD-10-006,Protect audit independence,Auditors MUST have sufficient read-only access and independence to verify decisions without receiving operational authority or unrelated sensitive content.,audits,Audit Authority,"workflow gate, register validation, and independent review",Audit Access Record,High,Audit Authority,"Book I Articles VI, XI, XII and Decision 40; Book II evidence architecture; Books III, VIII, IX",10,Automated completeness/integrity checks plus human authority review
EVD-10-007,Apply retention schedules,"Retention MUST cover decision validity, appeals, incidents, legal or constitutional holds, certification dependencies, historical accountability, and verified disposal.",all records,Records Authority,"workflow gate, register validation, and independent review",Retention Schedule,High,Records Authority,"Book I Articles VI, XI, XII and Decision 40; Book II evidence architecture; Books III, VIII, IX",10,Automated completeness/integrity checks plus human authority review
EVD-10-008,Correct by supersession,A governance record MUST NOT be silently edited after effectiveness; correction MUST use a linked attributable superseding record while preserving history.,effective records,Governance Recorder,"workflow gate, register validation, and independent review",Supersession Record,Critical,none,"Book I Articles VI, XI, XII and Decision 40; Book II evidence architecture; Books III, VIII, IX",10,Automated completeness/integrity checks plus human authority review
CNT-11-001,Separate ownership succession,"Owner transfer or succession MUST use the constitutional procedure and MUST NOT be inferred from custody, kinship, employment, access, incapacity, or emergency role.",Owner succession,Constitutional Steward,"workflow gate, register validation, and independent review",Constitutional Succession Record,Critical,Owner/constitutional process,"Book I Decisions 47-48, 51, 58; Book II continuity/recovery architecture; Book VIII recovery assurance",11,Automated completeness/integrity checks plus human authority review
CNT-11-002,Plan role succession,"Every critical governance role MUST define deputies, activation criteria, authority limits, term, handback, records, and disqualification conditions.",critical roles,Appointing Authority,"workflow gate, register validation, and independent review",Role Succession Plan,High,Appointing Authority,"Book I Decisions 47-48, 51, 58; Book II continuity/recovery architecture; Book VIII recovery assurance",11,Automated completeness/integrity checks plus human authority review
CNT-11-003,Test continuity,"Governance continuity plans MUST be exercised for identity compromise, unavailable Owner, unavailable authority, lost records, split authority, communication failure, and facility loss.",continuity plans,Continuity Steward,"workflow gate, register validation, and independent review",Governance Continuity Exercise,Critical,none,"Book I Decisions 47-48, 51, 58; Book II continuity/recovery architecture; Book VIII recovery assurance",11,Automated completeness/integrity checks plus human authority review
CNT-11-004,Restore authority before business,"Institutional recovery MUST verify Owner identity, constitutional state, authority records, audit integrity, and decision-register continuity before ordinary governance resumes.",governance recovery,Recovery Authority,"workflow gate, register validation, and independent review",Governance Recovery Admission,Critical,none,"Book I Decisions 47-48, 51, 58; Book II continuity/recovery architecture; Book VIII recovery assurance",11,Automated completeness/integrity checks plus human authority review
CNT-11-005,Quarantine compromised roles,"A suspected compromised identity, credential, device, record system, or governance body MUST lose affected decision authority while evidence is preserved and independent recovery proceeds.",compromise,Security Authority,"workflow gate, register validation, and independent review",Governance Quarantine Record,Critical,none,"Book I Decisions 47-48, 51, 58; Book II continuity/recovery architecture; Book VIII recovery assurance",11,Automated completeness/integrity checks plus human authority review
CNT-11-006,Prevent self-release,"A quarantined person, role, body, or system MUST NOT approve its own restoration to authority.",quarantine recovery,Recovery Authority,"workflow gate, register validation, and independent review",Independent Restoration Decision,Critical,none,"Book I Decisions 47-48, 51, 58; Book II continuity/recovery architecture; Book VIII recovery assurance",11,Automated completeness/integrity checks plus human authority review
CNT-11-007,Bound emergency succession,"Emergency acting authority MUST be minimal, expiring, nontransferable unless expressly authorized, unable to make Owner-reserved decisions, and subject to rapid review.",emergency vacancies,Appointing Authority,"workflow gate, register validation, and independent review",Acting Authority Record,Critical,none,"Book I Decisions 47-48, 51, 58; Book II continuity/recovery architecture; Book VIII recovery assurance",11,Automated completeness/integrity checks plus human authority review
CNT-11-008,Preserve institutional memory,"Continuity records MUST retain charters, authorities, decisions, dissent, exceptions, appeals, certifications, Treaties, succession, and unresolved obligations across personnel and system changes.",all transitions,Governance Archivist,"workflow gate, register validation, and independent review",Continuity Manifest,High,none,"Book I Decisions 47-48, 51, 58; Book II continuity/recovery architecture; Book VIII recovery assurance",11,Automated completeness/integrity checks plus human authority review
APR-12-001,Provide appeal notice,"A consequential decision MUST identify who may appeal, grounds, forum, deadline, evidence, interim effect, possible remedies, and finality.",appealable decisions,Decision Recorder,"workflow gate, register validation, and independent review",Appeal Notice,High,Appeal Authority,"Book I dignity, transparency, evidence, stewardship, and Decision 58; Books III and VIII",12,Automated completeness/integrity checks plus human authority review
APR-12-002,Use independent appeal authority,An appeal MUST be decided by an authority not materially responsible for or conflicted by the original decision.,appeals,Appeal Authority,"workflow gate, register validation, and independent review",Independence Record,Critical,none,"Book I dignity, transparency, evidence, stewardship, and Decision 58; Books III and VIII",12,Automated completeness/integrity checks plus human authority review
APR-12-003,Protect critical restrictions,"Appeal MUST NOT automatically stay a suspension, revocation, quarantine, or fail-closed restriction protecting constitutional, authority, safety, privacy, or trust invariants.",critical appeals,Appeal Authority,"workflow gate, register validation, and independent review",Interim Measures Decision,Critical,none,"Book I dignity, transparency, evidence, stewardship, and Decision 58; Books III and VIII",12,Automated completeness/integrity checks plus human authority review
APR-12-004,Resolve source conflict upward,"When artifacts conflict, governance MUST preserve the higher-order rule, halt the conflicting effect, record the conflict, correct the lower-order artifact, and avoid reinterpretation.",source conflicts,Constitutional Steward,"workflow gate, register validation, and independent review",Conflict Resolution Record,Critical,none,"Book I dignity, transparency, evidence, stewardship, and Decision 58; Books III and VIII",12,Automated completeness/integrity checks plus human authority review
APR-12-005,Provide remedy,"Confirmed error MUST produce proportionate correction, notification, record supersession, restored rights or status where possible, and prevention of recurrence.",sustained appeals,Decision Authority,"workflow gate, register validation, and independent review",Remedy Record,High,Decision Authority,"Book I dignity, transparency, evidence, stewardship, and Decision 58; Books III and VIII",12,Automated completeness/integrity checks plus human authority review
APR-12-006,Audit governance conformance,"Periodic audit MUST test authority paths, role separation, conflicts, evidence, exceptions, sunsets, appeals, publication, retention, certification status, and dependency reconciliation.",governance program,Governance Auditor,"workflow gate, register validation, and independent review",Governance Conformance Report,Critical,Audit Authority,"Book I dignity, transparency, evidence, stewardship, and Decision 58; Books III and VIII",12,Automated completeness/integrity checks plus human authority review
APR-12-007,"Measure outcomes, not volume","Governance metrics MUST examine decision quality, reversals, calibration, escaped harms, exception age, conflict handling, burden, timeliness, participation, and remedy—not meeting or approval counts alone.",program metrics,Governance Chair,"workflow gate, register validation, and independent review",Governance Metrics Report,High,none,"Book I dignity, transparency, evidence, stewardship, and Decision 58; Books III and VIII",12,Automated completeness/integrity checks plus human authority review
APR-12-008,Block final certification on dependencies,Book VII MUST NOT be certified while Books V or VI are nonfinal or while their authority reconciliation registers contain an unresolved material conflict.,Book VII publication,Certification Authority,"workflow gate, register validation, and independent review",Dependency Closure Report,Critical,none,"Book I dignity, transparency, evidence, stewardship, and Decision 58; Books III and VIII",12,Automated completeness/integrity checks plus human authority review
